,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample666,Sample666,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,X041918200B,NA,15.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample667,Sample667,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0287,NA,21,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample67,Sample67,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,18:08:15,SK0039,NA,NA,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample672,Sample672,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0117,NA,15.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample674,Sample674,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0273,NA,27.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample675,Sample675,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0223,NA,9.4,Unknown,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample677,Sample677,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0313,NA,15.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample678,Sample678,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0247,NA,7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample680,Sample680,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0126,NA,16.2,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample684,Sample684,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0272,NA,16.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample686,Sample686,UK,Wild,NA,NA,Skokholm,05/09/2020,Faeces,Shield,NA,SK0251,NA,22,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample687,Sample687,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0264,NA,23.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample688,Sample688,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0312,NA,9.5,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample689,Sample689,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,NA,SK0315,NA,7.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample69,Sample69,UK,Wild,NA,NA,Skokholm,21/09/2019,Faeces,Shield,NA,SK0082,NA,19.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample690,Sample690,UK,Wild,NA,NA,Skokholm,04/09/2020,Faeces,Shield,NA,SK0224,NA,21,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample691,Sample691,UK,Wild,NA,NA,Skokholm,06/09/2020,Faeces,Shield,NA,SK0223,NA,6.4,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample694,Sample694,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0128,NA,10.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample695,Sample695,UK,Wild,NA,NA,Skokholm,18/09/2019,Faeces,Shield,NA,SK0053,NA,16.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample698,Sample698,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0060,NA,18.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample699,Sample699,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0084,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample70,Sample70,UK,Wild,NA,NA,Skokholm,17/07/2019,Faeces,Shield,NA,SK0021,NA,21.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample704,Sample704,UK,Wild,NA,NA,Skokholm,08/09/2020,Faeces,Shield,NA,SK0255,NA,6.8,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample706,Sample706,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0261,NA,23.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample707,Sample707,UK,Wild,NA,NA,Skokholm,24/09/2020,Faeces,Shield,NA,SK0272,NA,21.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample708,Sample708,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,X0419180676,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample709,Sample709,UK,Wild,NA,NA,Skokholm,12/09/2020,Faeces,Shield,NA,SK0271,NA,23.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample71,Sample71,UK,Wild,NA,NA,Skokholm,28/08/2020,Faeces,Shield,NA,SK0205,NA,16.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample710,Sample710,UK,Wild,NA,NA,Skokholm,10/09/2020,Faeces,Shield,NA,SK0257,NA,23.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample712,Sample712,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0093,NA,22.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample716,Sample716,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0276,NA,22.9,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample719,Sample719,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,SK0077,NA,11,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample720,Sample720,UK,Wild,NA,NA,Skokholm,21/09/2019,Faeces,Shield,NA,SK0083,NA,16.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample721,Sample721,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0267,NA,8.7,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample723,Sample723,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,X0419180F14,NA,NA,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample724,Sample724,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0118,NA,12.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample725,Sample725,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0166,NA,16.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample728,Sample728,UK,Wild,NA,NA,Skokholm,02/09/2020,Faeces,Shield,NA,SK0244,NA,25,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample729,Sample729,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0114,NA,14.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample73,Sample73,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0105,NA,19.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample730,Sample730,UK,Wild,NA,NA,Skokholm,20/09/2019,Faeces,Shield,NA,SK0074,NA,20.6,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample731,Sample731,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0050,NA,NA,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample732,Sample732,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,X041A1F3083,NA,16.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample734,Sample734,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0100,NA,16.4,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample735,Sample735,UK,Wild,NA,NA,Skokholm,18/09/2019,Faeces,Shield,NA,X041917E111,NA,15.4,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample74,Sample74,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0019,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample741,Sample741,UK,Wild,NA,NA,Skokholm,22/09/2019,Faeces,Shield,NA,SK0101,NA,9.1,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample742,Sample742,UK,Wild,NA,NA,Skokholm,25/09/2019,Faeces,Shield,NA,SK0055,NA,15.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample743,Sample743,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,X041A1F2FC6,NA,16.3,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample744,Sample744,UK,Wild,NA,NA,Skokholm,27/09/2019,Faeces,Shield,NA,SK0139,NA,26.3,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample747,Sample747,UK,Wild,NA,NA,Skokholm,19/08/2020,Faeces,Shield,NA,SK0205,NA,14.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample749,Sample749,UK,Wild,NA,NA,Skokholm,19/09/2020,Faeces,Shield,NA,SK0284,NA,7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample75,Sample75,UK,Wild,NA,NA,Skokholm,30/08/2020,Faeces,Shield,NA,SK0237,NA,12,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample753,Sample753,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,X0419180F14,NA,22.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample754,Sample754,UK,Wild,NA,NA,Skokholm,15/09/2020,Faeces,Shield,NA,SK0251,NA,16.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample756,Sample756,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,NA,SK0295,NA,16.5,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample76,Sample76,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0123,NA,21.4,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample760,Sample760,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,SK0260,NA,16.3,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample78,Sample78,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,SK0235,NA,18.5,Male,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Sample8,Sample8,UK,Wild,NA,NA,Skokholm,28/09/2020,Faeces,Shield,NA,SK0326,NA,6.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample80,Sample80,UK,Wild,NA,NA,Isle_of_May,19/09/2018,Faeces,No preservative,NA,Sample80,NA,21,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample81,Sample81,UK,Wild,NA,NA,Skokholm,16/09/2020,Faeces,Shield,NA,SK0269,NA,17.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample84,Sample84,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,X041A1F335E,NA,18.7,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample87,Sample87,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,10:13:33,SK0209,NA,24.6,Male,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
Sample89,Sample89,UK,Wild,NA,NA,Skokholm,23/09/2019,Faeces,Shield,NA,SK0117,NA,14,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample9,Sample9,UK,Wild,NA,NA,Skokholm,19/09/2019,Faeces,Shield,NA,SK0061,NA,23.8,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample90,Sample90,UK,Wild,NA,NA,Skokholm,18/07/2019,Faeces,Shield,NA,SK0028,NA,22.7,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample91,Sample91,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,11:38:54,X041A1F23F9,NA,22.8,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample92,Sample92,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,NA,SK0082,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample93,Sample93,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,11:17:23,SK0251,NA,21.2,Female,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample95,Sample95,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,X041A1F2404,NA,18.6,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1001,Sample1001,France,Wild,NA,NA,Espelette,NA,Intestinal contents (colon),PBS,NA,MJJ1002,NA,NA,Female,No,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1003,Sample1003,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1003,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1004,Sample1004,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1004,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1005,Sample1005,NA,Wild,NA,NA,Midway_Atoll,29/11/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1005,NA,NA,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1009,Sample1009,UK,Wild,NA,NA,Skokholm,26/09/2020,Faeces,Shield,NA,SK0235,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1011,Sample1011,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1011,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1013,Sample1013,Germany,Wild,NA,NA,Cologne,NA,Intestinal contents (cecum),RNAlater,NA,CB17,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1018,Sample1018,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1018,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1019,Sample1019,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1019,NA,18.5,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1020,Sample1020,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1020,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1022,Sample1022,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1022,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1024,Sample1024,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1024,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1028,Sample1028,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1028,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1029,Sample1029,UK,Wild,NA,NA,Skokholm,23/09/2020,Faeces,Shield,12:23:56,SK0294,NA,25.1,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1030,Sample1030,UK,Wild,NA,NA,Skokholm,27/08/2020,Faeces,Shield,NA,SK0205,NA,15.2,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1031,Sample1031,UK,Wild,NA,NA,Skokholm,14/09/2020,Faeces,Shield,NA,SK0222,NA,26.5,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
Sample1034,Sample1034,UK,Wild,NA,NA,Skokholm,02/09/2020,Faeces,Shield,NA,SK0227,NA,19.8,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1035,Sample1035,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1035,NA,18.3,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1037,Sample1037,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,18:10:44,SK0124,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1039,Sample1039,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1039,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1042,Sample1042,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1042,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1043,Sample1043,UK,Wild,NA,NA,Skokholm,27/09/2020,Faeces,Shield,10:53:26,SK0316,NA,23.5,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample1044,Sample1044,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1044,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1046,Sample1046,UK,Wild,NA,NA,Skokholm,20/09/2020,Faeces,Shield,NA,X041A1F2FC6,NA,16,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1048,Sample1048,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1048,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1050,Sample1050,UK,Wild,NA,NA,Skokholm,28/04/2021,Faeces,Shield,NA,SK0348,NA,15.9,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1051,Sample1051,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1051,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1052,Sample1052,UK,Wild,NA,NA,Skokholm,01/10/2019,Faeces,Shield,18:13:14,SK0166,NA,NA,Male,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
Sample1054,Sample1054,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1054,NA,14.3,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1057,Sample1057,UK,Wild,NA,NA,Skokholm,03/09/2020,Faeces,Shield,NA,X041A1F2FC6,NA,17.1,Unknown,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1058,Sample1058,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1058,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1059,Sample1059,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1059,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1060,Sample1060,UK,Wild,NA,NA,Skokholm,15/04/2021,Faeces,Shield,NA,SK0281,NA,20,Female,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1061,Sample1061,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1061,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1063,Sample1063,France,Wild,NA,NA,Espelette,NA,Intestinal contents (colon),PBS,NA,JJM1002,NA,NA,Male,Inflammed,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1064,Sample1064,NA,Wild,NA,NA,Midway_Atoll,01/10/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1064,NA,NA,Female,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1066,Sample1066,Germany,Wild,NA,NA,Cologne,NA,Intestinal contents (cecum),RNAlater,NA,CB16,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1067,Sample1067,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1067,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1069,Sample1069,UK,Wild,NA,NA,Skokholm,25/04/2021,Faeces,Shield,NA,SK0231,NA,22.5,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1070,Sample1070,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1070,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1072,Sample1072,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1072,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1073,Sample1073,UK,Wild,NA,NA,Skokholm,18/09/2020,Faeces,Shield,NA,Sample1073,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1076,Sample1076,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1076,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1077,Sample1077,NA,Wild,NA,NA,Midway_Atoll,29/11/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1077,NA,NA,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1078,Sample1078,UK,Wild,NA,NA,Wytham,13/11/2020,Faeces,Shield,NA,Sample1078,NA,16.5,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1079,Sample1079,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1079,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1080,Sample1080,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1080,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1081,Sample1081,UK,Wild,NA,NA,Skokholm,03/09/2020,Faeces,Shield,NA,SK0235,NA,18,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1083,Sample1083,NA,Wild,NA,NA,Midway_Atoll,29/11/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1083,NA,NA,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1084,Sample1084,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1084,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1085,Sample1085,NA,Wild,NA,NA,Midway_Atoll,02/10/2018,Intestinal contents (colon),70% isopropyl alcohol until moved to DNA/RNA Shield for shipping from US to the UK,NA,Sample1085,NA,NA,Male,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1087,Sample1087,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1087,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1088,Sample1088,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1088,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1089,Sample1089,France,Wild,NA,NA,Espelette,NA,Intestinal contents (colon),PBS,NA,MN0206,NA,NA,Male,Inflammed,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1091,Sample1091,Germany,Wild,NA,NA,Cologne,NA,Intestinal contents (cecum),RNAlater,NA,CB26,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1096,Sample1096,Faroe_Islands,Wild,NA,NA,Faroe,NA,Intestinal contents (colon),None until moved to DNA/RNA Shield for shipping from Faroe Islands to the UK,NA,Sample1096,NA,NA,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Sample1100,Sample1100,UK,Wild,NA,NA,Skokholm,30/09/2019,Faeces,Shield,NA,SK0124,NA,17.1,Male,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Sample1102,Sample1102,France,Wild,NA,NA,Espelette,NA,Intestinal contents (colon),PBS,NA,MJJ0601,NA,NA,Male,Inflammed,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
