,Sequencing_ID,Country,Source,Strain,Facility,Population,Collection_date,Sample_type,Preservative,Preservation time of faecal sample,Animal_ID,Birthdate,Body_mass_g,Sex,Health_status,Sample used in cross-sectional lab vs wild analyses,"Sample used in longitudinal, microbiota distance-based lab vs wild analyses","Sample used in longitudinal, ASV retention lab vs wild analyses",Sample used in mainland vs island analyses,Sample used in sample preservative analyses,Sample used in faecal sample exposure analyses
Sample233,Sample233,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,No preservative,NA,SK0013,NA,23.1,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample234,Sample234,UK,Wild,NA,NA,Skokholm,12/07/2019,Faeces,98% ethanol,NA,X041A556696,NA,25.1,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample235,Sample235,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,98% ethanol,NA,SK0015,NA,23.9,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample236,Sample236,UK,Wild,NA,NA,Skokholm,16/07/2019,Faeces,No preservative,NA,SK0022,NA,22.5,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample237,Sample237,UK,Wild,NA,NA,Skokholm,02/09/2020,Faeces,Shield,11:45:24,SK0243,NA,40.3,Unknown,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
Sample239,Sample239,UK,Wild,NA,NA,Skokholm,15/07/2019,Faeces,98% ethanol,NA,SK0001,NA,30.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample240,Sample240,UK,Wild,NA,NA,Skokholm,09/07/2019,Faeces,RNAlater,NA,SK0003,NA,25.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample241,Sample241,UK,Wild,NA,NA,Skokholm,19/07/2019,Faeces,98% ethanol,NA,SK0013,NA,23.1,Male,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample242,Sample242,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,98% ethanol,NA,SK0001,NA,NA,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample243,Sample243,UK,Wild,NA,NA,Skokholm,09/07/2019,Faeces,No preservative,NA,SK0003,NA,25.6,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Sample244,Sample244,UK,Wild,NA,NA,Skokholm,11/07/2019,Faeces,DNA/RNA Shield,NA,SK0001,NA,NA,Female,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
